"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C39,C45,C47","0.1u, 500V","~","Capacitor_SMD:C_1812_4532Metric","4",""
"C2,C40,C46,C48","EEU-EB2G100","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1024.pdf","726_footprints:EEU-EB2G100","4",""
"C3,C4,C5,C6,C15,C16,C17,C18,C27,C28,C29,C30","0.1u, 10V","~","Capacitor_SMD:C_0603_1608Metric","12","DNP"
"C7,C8,C19,C20,C31,C32","0.75pF, 250V","~","Capacitor_SMD:C_0805_2012Metric","6","DNP"
"C9,C13,C21,C25,C33,C37,C41,C43,C49,C51","0.1u, 500V","~","Capacitor_SMD:C_1812_4532Metric","10","DNP"
"C10,C14,C22,C26,C34,C38,C42,C44,C50,C52","EEU-EB2G100","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1024.pdf","726_footprints:EEU-EB2G100","10","DNP"
"C11,C12,C23,C24,C35,C36","0.2pF, 250V","~","Capacitor_SMD:C_0805_2012Metric","6","DNP"
"J1,J4,J6,J8","CT3151V1-0","CT3151V1-0","0_726_footprints:banana_plug_CT3151V1-0","4",""
"J2","CT3151V1-2","CT3151V1-0","0_726_footprints:banana_plug_CT3151V1-0","1",""
"J3,J5,J7,J9,J11,J13,J15,J16,J17,J18,J19,J20","SMA_RF2-04A-T-00-50-G","112404","0_726_footprints:CONN_RF2-04A-T-00-50-G_ADM","12",""
"J10","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J12,J21,J23","Conn_01x06_Pin","~","-- mixed values --","3",""
"J22","503480-3200","https://www.molex.com/pdm_docs/sd/5034803200_sd.pdf","5034803200","1",""
"R1","5k, 3W","~","","1",""
"R2,R3,R8,R9,R14,R15,R20,R21,R26,R27,R32,R33","22.6","~","","12","DNP"
"R4,R5,R10,R11,R16,R17,R22,R23,R28,R29,R34,R35,R42,R44,R46,R48","100","~","","16","DNP"
"R6,R7,R12,R13,R18,R19,R24,R25,R30,R31,R36,R37,R43,R45,R47,R49","707","~","","16","DNP"
"R38,R40","100","~","","2",""
"R39,R41","707","~","","2",""
"U1,U4,U5,U6,U7,U10,U13,U16,U17,U18","SMCJ150A","","726_footprints:SMCJ150A-13-F","10","DNP"
"U2,U3,U9,U14,U15","PA343","","726_footprints:PA341DF","5","DNP"
"U8,U9","PA343","","726_footprints:PA341DF","2",""
"U11,U12","SMCJ150A","","726_footprints:SMCJ150A-13-F","2",""
