Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u, 500V","C_1812_4532Metric",232.765600,-102.666800,0.000000,top
"C2","EEU-EB2G100","EEU-EB2G100",231.180000,-91.440000,0.000000,top
"C3","0.1u, 10V","C_0603_1608Metric",116.586000,-80.822800,180.000000,top
"C4","0.1u, 10V","C_0603_1608Metric",160.274000,-80.568800,180.000000,top
"C5","0.1u, 10V","C_0603_1608Metric",114.159872,-61.543691,0.000000,top
"C6","0.1u, 10V","C_0603_1608Metric",156.413200,-61.112400,0.000000,top
"C7","0.75pF, 250V","C_0805_2012Metric",140.716000,-60.452000,90.000000,top
"C8","0.75pF, 250V","C_0805_2012Metric",181.356000,-59.182000,90.000000,top
"C9","0.1u, 500V","C_1812_4532Metric",127.508000,-43.712891,0.000000,top
"C10","EEU-EB2G100","EEU-EB2G100",139.398469,-75.438000,180.000000,top
"C11","0.2pF, 250V","C_0805_2012Metric",118.618000,-56.642000,-90.000000,top
"C12","0.2pF, 250V","C_0805_2012Metric",160.020000,-55.880000,-90.000000,top
"C13","0.1u, 500V","C_1812_4532Metric",168.958835,-42.240200,0.000000,top
"C14","EEU-EB2G100","EEU-EB2G100",180.350800,-73.863200,180.000000,top
"C15","0.1u, 10V","C_0603_1608Metric",25.971000,-80.010000,0.000000,top
"C16","0.1u, 10V","C_0603_1608Metric",65.176400,-88.595200,-90.000000,top
"C17","0.1u, 10V","C_0603_1608Metric",26.263600,-60.636357,0.000000,top
"C18","0.1u, 10V","C_0603_1608Metric",66.548000,-59.518757,0.000000,top
"C19","0.75pF, 250V","C_0805_2012Metric",50.800000,-60.198000,90.000000,top
"C20","0.75pF, 250V","C_0805_2012Metric",91.948000,-58.420000,90.000000,top
"C21","0.1u, 500V","C_1812_4532Metric",38.100000,-43.942000,0.000000,top
"C22","EEU-EB2G100","EEU-EB2G100",47.230000,-74.090000,180.000000,top
"C23","0.2pF, 250V","C_0805_2012Metric",29.972000,-55.626000,-90.000000,top
"C24","0.2pF, 250V","C_0805_2012Metric",70.612000,-54.102000,-90.000000,top
"C25","0.1u, 500V","C_1812_4532Metric",79.248000,-42.164000,0.000000,top
"C26","EEU-EB2G100","EEU-EB2G100",88.310000,-73.300000,180.000000,top
"C27","0.1u, 10V","C_0603_1608Metric",204.673200,-80.518000,0.000000,top
"C28","0.1u, 10V","C_0603_1608Metric",249.580400,-80.111600,0.000000,top
"C29","0.1u, 10V","C_0603_1608Metric",203.454000,-62.331600,0.000000,top
"C30","0.1u, 10V","C_0603_1608Metric",245.059200,-59.842400,0.000000,top
"C31","0.75pF, 250V","C_0805_2012Metric",229.108000,-60.223400,90.000000,top
"C32","0.75pF, 250V","C_0805_2012Metric",270.256000,-59.436000,90.000000,top
"C33","0.1u, 500V","C_1812_4532Metric",215.900000,-43.180000,0.000000,top
"C34","EEU-EB2G100","EEU-EB2G100",227.899600,-75.387200,180.000000,top
"C35","0.2pF, 250V","C_0805_2012Metric",207.264000,-57.404000,-90.000000,top
"C36","0.2pF, 250V","C_0805_2012Metric",248.920000,-56.642000,-90.000000,top
"C37","0.1u, 500V","C_1812_4532Metric",256.692400,-42.240200,0.000000,top
"C38","EEU-EB2G100","EEU-EB2G100",269.800000,-73.890000,180.000000,top
"C39","0.1u, 500V","C_1812_4532Metric",270.459200,-98.755200,90.000000,top
"C40","EEU-EB2G100","EEU-EB2G100",275.804000,-107.696000,180.000000,top
"C41","0.1u, 500V","C_1812_4532Metric",145.288000,-50.647600,-90.000000,top
"C42","EEU-EB2G100","EEU-EB2G100",126.655200,-75.438000,180.000000,top
"C43","0.1u, 500V","C_1812_4532Metric",186.283600,-49.580800,-90.000000,top
"C44","EEU-EB2G100","EEU-EB2G100",169.672000,-73.761600,180.000000,top
"C45","0.1u, 500V","C_1812_4532Metric",97.790000,-48.437800,-90.000000,top
"C46","EEU-EB2G100","EEU-EB2G100",77.070000,-73.300000,180.000000,top
"C47","0.1u, 500V","C_1812_4532Metric",56.515000,-49.784000,-90.000000,top
"C48","EEU-EB2G100","EEU-EB2G100",36.560000,-74.090000,180.000000,top
"C49","0.1u, 500V","C_1812_4532Metric",234.391200,-50.698400,-90.000000,top
"C50","EEU-EB2G100","EEU-EB2G100",216.458800,-75.387200,180.000000,top
"C51","0.1u, 500V","C_1812_4532Metric",275.742400,-48.920400,-90.000000,top
"C52","EEU-EB2G100","EEU-EB2G100",258.950000,-73.890000,180.000000,top
"J1","CT3151V1-0","banana_plug_CT3151V1-0",243.535200,-103.365300,-90.000000,top
"J2","CT3151V1-2","banana_plug_CT3151V1-0",221.843600,-103.263700,-90.000000,top
"J3","SMA_RF2-04A-T-00-50-G","112404",29.571100,-87.731600,-90.000000,top
"J4","CT3151V1-0","banana_plug_CT3151V1-0",138.328400,-103.924100,-90.000000,top
"J5","SMA_RF2-04A-T-00-50-G","112404",72.796400,-87.731600,-90.000000,top
"J6","CT3151V1-0","banana_plug_CT3151V1-0",260.134100,-103.327200,-90.000000,top
"J7","SMA_RF2-04A-T-00-50-G","112404",116.992400,-87.731600,-90.000000,top
"J8","CT3151V1-0","banana_plug_CT3151V1-0",154.381200,-103.924100,-90.000000,top
"J9","SMA_RF2-04A-T-00-50-G","112404",161.036000,-87.731600,-90.000000,top
"J10","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",185.679000,-22.098000,-90.000000,top
"J11","SMA_RF2-04A-T-00-50-G","112404",203.911200,-87.731600,-90.000000,top
"J12","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",127.630000,-32.630000,90.000000,top
"J13","SMA_RF2-04A-T-00-50-G","112404",248.818400,-87.731600,-90.000000,top
"J15","SMA_RF2-04A-T-00-50-G","112404",52.476400,-25.958800,-90.000000,top
"J16","SMA_RF2-04A-T-00-50-G","112404",65.349120,-25.958800,-90.000000,top
"J17","SMA_RF2-04A-T-00-50-G","112404",78.221840,-25.958800,90.000000,top
