Ref,Val,Package,PosX,PosY,Rot,Side
"C44","1n","C_0603_1608Metric",83.225000,-121.250000,180.000000,bottom
"C45","10p","C_0603_1608Metric",83.225000,-122.750000,180.000000,bottom
"C46","1n","C_0603_1608Metric",125.500000,-124.500000,0.000000,bottom
"C47","10p","C_0603_1608Metric",125.500000,-123.000000,0.000000,bottom
"C48","1n","C_0603_1608Metric",125.500000,-130.500000,0.000000,bottom
"C49","1n","C_0603_1608Metric",125.500000,-129.000000,0.000000,bottom
"C50","10p","C_0603_1608Metric",99.750000,-138.000000,-90.000000,bottom
"C51","10p","C_0603_1608Metric",101.250000,-138.000000,-90.000000,bottom
"C52","1n","C_0603_1608Metric",98.500000,-96.000000,90.000000,bottom
"C53","1n","C_0603_1608Metric",83.250000,-119.000000,180.000000,bottom
"C54","10p","C_0603_1608Metric",125.750000,-117.500000,0.000000,bottom
"C55","10p","C_0603_1608Metric",125.750000,-116.000000,0.000000,bottom
"C60","1n","C_0603_1608Metric",99.500000,-89.000000,180.000000,bottom
"C61","1n","C_0603_1608Metric",99.500000,-90.500000,180.000000,bottom
"C62","10p","C_0603_1608Metric",99.500000,-92.000000,180.000000,bottom
"C63","10p","C_0603_1608Metric",99.500000,-93.500000,180.000000,bottom
